	annotatorLabels	genre	goldLabels	pairID	promptID	sentence1	sentence1BinaryParse	sentence1Parse	sentence2	sentence2BinaryParse	sentence2Parse	tokenizedSentence1	gongLabelSentence1	tokenizedSentence2	gongLabelSentence2
0	contradiction	slate	contradiction	133030c	133030	And because the value of an option depends positively on volatility--the uncertainty about the future value of the underlying asset--the rational way to maximize the value of that option is to invest the money in the riskiest, most volatile assets you can find.	( And ( ( because ( ( ( the value ) ( of ( an option ) ) ) ( ( depends positively ) ( on ( ( volatility ( -- ( ( ( the uncertainty ) ( about ( ( the ( future value ) ) ( of ( the ( underlying asset ) ) ) ) ) ) -- ) ) ) ( the ( rational ( way ( to ( maximize ( ( the value ) ( of ( that ( option ( is ( to ( ( invest ( the money ) ) ( in ( ( ( the riskiest ) , ) ( ( most volatile ) assets ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( you ( ( can find ) . ) ) ) )	(ROOT (S (CC And) (SBAR (IN because) (S (NP (NP (DT the) (NN value)) (PP (IN of) (NP (DT an) (NN option)))) (VP (VBZ depends) (ADVP (RB positively)) (PP (IN on) (NP (NP (NN volatility)) (PRN (: --) (NP (NP (DT the) (NN uncertainty)) (PP (IN about) (NP (NP (DT the) (JJ future) (NN value)) (PP (IN of) (NP (DT the) (VBG underlying) (NN asset)))))) (: --)) (NP (DT the) (JJ rational) (NN way) (S (VP (TO to) (VP (VB maximize) (NP (NP (DT the) (NN value)) (PP (IN of) (SBAR (IN that) (S (NP (NN option)) (VP (VBZ is) (S (VP (TO to) (VP (VB invest) (NP (DT the) (NN money)) (PP (IN in) (NP (NP (DT the) (JJS riskiest)) (, ,) (NP (ADJP (RBS most) (JJ volatile)) (NNS assets))))))))))))))))))))) (NP (PRP you)) (VP (MD can) (VP (VB find))) (. .)))	The value of an asset does not at all depend positively on volatility.	( ( ( The value ) ( of ( an asset ) ) ) ( ( ( ( does not ) ( at all ) ) ( ( depend positively ) ( on volatility ) ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN value)) (PP (IN of) (NP (DT an) (NN asset)))) (VP (VBZ does) (RB not) (ADVP (IN at) (DT all)) (VP (VB depend) (ADVP (RB positively)) (PP (IN on) (NP (NN volatility))))) (. .)))	['<s>', 'And', 'Ġbecause', 'Ġthe', 'Ġvalue', 'Ġof', 'Ġan', 'Ġoption', 'Ġdepends', 'Ġpositively', 'Ġon', 'Ġvolatility', '--', 'the', 'Ġuncertainty', 'Ġabout', 'Ġthe', 'Ġfuture', 'Ġvalue', 'Ġof', 'Ġthe', 'Ġunderlying', 'Ġasset', '--', 'the', 'Ġrational', 'Ġway', 'Ġto', 'Ġmaximize', 'Ġthe', 'Ġvalue', 'Ġof', 'Ġthat', 'Ġoption', 'Ġis', 'Ġto', 'Ġinvest', 'Ġthe', 'Ġmoney', 'Ġin', 'Ġthe', 'Ġrisk', 'iest', ',', 'Ġmost', 'Ġvolatile', 'Ġassets', 'Ġyou', 'Ġcan', 'Ġfind', '.', '</s>']	"[0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]"	['<s>', 'The', 'Ġvalue', 'Ġof', 'Ġan', 'Ġasset', 'Ġdoes', 'Ġnot', 'Ġat', 'Ġall', 'Ġdepend', 'Ġpositively', 'Ġon', 'Ġvolatility', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
1	contradiction	government	contradiction	75943c	75943	He noted that most brief intervention studies in EDs have focused on injured patients, but that 70 percent to 80 percent of ED patients do not present with an injury.	( He ( ( noted ( ( ( ( that ( ( ( ( most brief ) ( intervention studies ) ) ( in EDs ) ) ( have ( focused ( on ( injured patients ) ) ) ) ) ) , ) but ) ( that ( ( ( 70 percent ) ( to ( ( 80 percent ) ( of ( ED patients ) ) ) ) ) ( ( do not ) ( present ( with ( an injury ) ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (PRP He)) (VP (VBD noted) (SBAR (SBAR (IN that) (S (NP (NP (ADJP (RBS most) (JJ brief)) (NN intervention) (NNS studies)) (PP (IN in) (NP (NNP EDs)))) (VP (VBP have) (VP (VBN focused) (PP (IN on) (NP (JJ injured) (NNS patients))))))) (, ,) (CC but) (SBAR (IN that) (S (NP (NP (CD 70) (NN percent)) (PP (TO to) (NP (NP (CD 80) (NN percent)) (PP (IN of) (NP (NNP ED) (NNS patients)))))) (VP (VBP do) (RB not) (VP (VB present) (PP (IN with) (NP (DT an) (NN injury))))))))) (. .)))	He failed to note that injured patients were the focus of many intervention studies for EDs.	( He ( ( failed ( to ( note ( that ( ( injured patients ) ( were ( ( the focus ) ( of ( ( many ( intervention studies ) ) ( for EDs ) ) ) ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (PRP He)) (VP (VBD failed) (S (VP (TO to) (VP (VB note) (SBAR (IN that) (S (NP (JJ injured) (NNS patients)) (VP (VBD were) (NP (NP (DT the) (NN focus)) (PP (IN of) (NP (NP (JJ many) (NN intervention) (NNS studies)) (PP (IN for) (NP (NNP EDs))))))))))))) (. .)))	['<s>', 'He', 'Ġnoted', 'Ġthat', 'Ġmost', 'Ġbrief', 'Ġintervention', 'Ġstudies', 'Ġin', 'ĠED', 's', 'Ġhave', 'Ġfocused', 'Ġon', 'Ġinjured', 'Ġpatients', ',', 'Ġbut', 'Ġthat', 'Ġ70', 'Ġpercent', 'Ġto', 'Ġ80', 'Ġpercent', 'Ġof', 'ĠED', 'Ġpatients', 'Ġdo', 'Ġnot', 'Ġpresent', 'Ġwith', 'Ġan', 'Ġinjury', '.', '</s>']	[0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0]	['<s>', 'He', 'Ġfailed', 'Ġto', 'Ġnote', 'Ġthat', 'Ġinjured', 'Ġpatients', 'Ġwere', 'Ġthe', 'Ġfocus', 'Ġof', 'Ġmany', 'Ġintervention', 'Ġstudies', 'Ġfor', 'ĠED', 's', '.', '</s>']	[0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
2	contradiction	slate	contradiction	28842c	28842	Does Bradley get it?	( Does ( Bradley ( ( get it ) ? ) ) )	(ROOT (SQ (NNP Does) (NP (NNP Bradley)) (VP (VB get) (NP (PRP it))) (. ?)))	Does Jesus have it?	( Does ( Jesus ( ( have it ) ? ) ) )	(ROOT (SQ (NNP Does) (NP (NNP Jesus)) (VP (VB have) (NP (PRP it))) (. ?)))	['<s>', 'Does', 'ĠBradley', 'Ġget', 'Ġit', '?', '</s>']	[0 0 0 1 0 0 0]	['<s>', 'Does', 'ĠJesus', 'Ġhave', 'Ġit', '?', '</s>']	[0 0 0 0 0 0 0]
3	contradiction	telephone	contradiction	51085c	51085	yeah i think if there's any major piece of advice i'd give is to find a way of getting an education that doesn't incur that kind of debt	( yeah ( i ( think ( if ( there ( 's ( ( ( any ( major piece ) ) ( of advice ) ) ( i ( 'd ( give ( is ( to ( find ( ( a way ) ( of ( getting ( ( an education ) ( that ( ( does n't ) ( incur ( ( that kind ) ( of debt ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )	(ROOT (S (VP (VB yeah) (SBAR (S (NP (FW i)) (VP (VBP think) (SBAR (IN if) (S (NP (EX there)) (VP (VBZ 's) (NP (NP (DT any) (JJ major) (NN piece)) (PP (IN of) (NP (NN advice))) (SBAR (S (NP (FW i)) (VP (MD 'd) (VP (VB give) (SBAR (S (VP (VBZ is) (S (VP (TO to) (VP (VB find) (NP (NP (DT a) (NN way)) (PP (IN of) (S (VP (VBG getting) (NP (NP (DT an) (NN education)) (SBAR (WHNP (WDT that)) (S (VP (VBZ does) (RB n't) (VP (VB incur) (NP (NP (DT that) (NN kind)) (PP (IN of) (NP (NN debt)))))))))))))))))))))))))))))))))	You should take out loans to finance college.	( You ( ( should ( ( take out ) ( loans ( to ( finance college ) ) ) ) ) . ) )	(ROOT (S (NP (PRP You)) (VP (MD should) (VP (VB take) (PRT (RP out)) (NP (NNS loans) (S (VP (TO to) (VP (VB finance) (NP (NN college)))))))) (. .)))	"['<s>', 'yeah', 'Ġi', 'Ġthink', 'Ġif', 'Ġthere', ""'s"", 'Ġany', 'Ġmajor', 'Ġpiece', 'Ġof', 'Ġadvice', 'Ġi', ""'d"", 'Ġgive', 'Ġis', 'Ġto', 'Ġfind', 'Ġa', 'Ġway', 'Ġof', 'Ġgetting', 'Ġan', 'Ġeducation', 'Ġthat', 'Ġdoesn', ""'t"", 'Ġincur', 'Ġthat', 'Ġkind', 'Ġof', 'Ġdebt', '</s>']"	[0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0]	['<s>', 'You', 'Ġshould', 'Ġtake', 'Ġout', 'Ġloans', 'Ġto', 'Ġfinance', 'Ġcollege', '.', '</s>']	[0 0 0 1 1 0 0 0 0 0 0]
4	contradiction	slate	contradiction	114520c	114520	Moreover, the obits also recorded lots of violent and accidental deaths.	( Moreover ( , ( ( the obits ) ( also ( ( recorded ( lots ( of ( ( ( violent and ) accidental ) deaths ) ) ) ) . ) ) ) ) )	(ROOT (S (ADVP (RB Moreover)) (, ,) (NP (DT the) (NNS obits)) (ADVP (RB also)) (VP (VBD recorded) (NP (NP (NNS lots)) (PP (IN of) (NP (ADJP (JJ violent) (CC and) (JJ accidental)) (NNS deaths))))) (. .)))	Many obituaries are for people who have not died yet.	( ( Many obituaries ) ( ( are ( for ( people ( who ( ( have not ) ( died yet ) ) ) ) ) ) . ) )	(ROOT (S (NP (JJ Many) (NNS obituaries)) (VP (VBP are) (PP (IN for) (NP (NP (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP have) (RB not) (VP (VBN died) (ADVP (RB yet))))))))) (. .)))	['<s>', 'Moreover', ',', 'Ġthe', 'Ġob', 'its', 'Ġalso', 'Ġrecorded', 'Ġlots', 'Ġof', 'Ġviolent', 'Ġand', 'Ġaccidental', 'Ġdeaths', '.', '</s>']	[0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0]	['<s>', 'Many', 'Ġob', 'itu', 'aries', 'Ġare', 'Ġfor', 'Ġpeople', 'Ġwho', 'Ġhave', 'Ġnot', 'Ġdied', 'Ġyet', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
5	contradiction	telephone	contradiction	9542c	9542	contradiction in turn	( contradiction ( in turn ) )	(ROOT (S (VP (VB contradiction) (PP (IN in) (NP (NN turn))))))	There are no contradictions here.	( There ( ( ( are ( no contradictions ) ) here ) . ) )	(ROOT (S (NP (EX There)) (VP (VBP are) (NP (DT no) (NNS contradictions)) (ADVP (RB here))) (. .)))	['<s>', 'cont', 'rad', 'iction', 'Ġin', 'Ġturn', '</s>']	[0 0 0 0 1 1 0]	['<s>', 'There', 'Ġare', 'Ġno', 'Ġcontradictions', 'Ġhere', '.', '</s>']	[0 0 0 0 0 1 0 0]
6	contradiction	fiction	contradiction	29409c	29409	All very well, but this is very dull for ME! 	( ( All ( very well ) ) ( , ( ( but this ) ( ( is ( very ( dull ( for ME ) ) ) ) ! ) ) ) )	(ROOT (S (ADVP (DT All) (RB very) (RB well)) (, ,) (NP (IN but) (DT this)) (VP (VBZ is) (ADJP (RB very) (JJ dull) (PP (IN for) (NP (NNP ME))))) (. !)))	This is especially interesting for me.	( This ( ( is ( especially ( interesting ( for me ) ) ) ) . ) )	(ROOT (S (NP (DT This)) (VP (VBZ is) (ADJP (RB especially) (JJ interesting) (PP (IN for) (NP (PRP me))))) (. .)))	['<s>', 'All', 'Ġvery', 'Ġwell', ',', 'Ġbut', 'Ġthis', 'Ġis', 'Ġvery', 'Ġdull', 'Ġfor', 'ĠME', '!', 'Ġ', '</s>']	[0 0 0 0 0 0 1 0 0 1 0 0 0 0 0]	['<s>', 'This', 'Ġis', 'Ġespecially', 'Ġinteresting', 'Ġfor', 'Ġme', '.', '</s>']	[0 1 0 0 0 0 0 0 0]
7	contradiction	telephone	contradiction	42592c	42592	and i wouldn't enjoy it but if i have something some team sport or some activity then it's kind of like having fun playing and then you then you get some of the	( and ( i ( ( would n't ) ( ( enjoy it ) ( but ( ( if ( i ( have ( ( ( something ( some ( team sport ) ) ) or ) ( ( some activity ) ( ( ( then ( it ( 's ( kind ( of ( like ( having ( fun playing ) ) ) ) ) ) ) ) and ) ( then ( you then ) ) ) ) ) ) ) ) ( you ( get ( some ( of the ) ) ) ) ) ) ) ) ) )	(ROOT (FRAG (CC and) (NP (NP (FW i)) (SBAR (S (VP (MD would) (RB n't) (VP (VB enjoy) (NP (PRP it)) (SBAR (CC but) (S (SBAR (IN if) (S (NP (FW i)) (VP (VBP have) (NP (NP (NP (NN something)) (NP (DT some) (NN team) (NN sport))) (CC or) (NP (NP (DT some) (NN activity)) (SBAR (S (S (ADVP (RB then)) (NP (PRP it)) (VP (VBZ 's) (NP (NP (NN kind)) (PP (IN of) (PP (IN like) (S (VP (VBG having) (NP (NN fun) (NN playing))))))))) (CC and) (S (ADVP (RB then)) (NP (PRP you)) (NP (RB then)))))))))) (NP (PRP you)) (VP (VBP get) (NP (NP (DT some)) (PP (IN of) (NP (DT the))))))))))))))	Team sports and activities are not fun at all.	( ( Team ( ( sports and ) activities ) ) ( ( ( ( are not ) fun ) ( at all ) ) . ) )	(ROOT (S (NP (JJ Team) (NNS sports) (CC and) (NNS activities)) (VP (VBP are) (RB not) (NP (NN fun)) (ADVP (IN at) (DT all))) (. .)))	"['<s>', 'and', 'Ġi', 'Ġwouldn', ""'t"", 'Ġenjoy', 'Ġit', 'Ġbut', 'Ġif', 'Ġi', 'Ġhave', 'Ġsomething', 'Ġsome', 'Ġteam', 'Ġsport', 'Ġor', 'Ġsome', 'Ġactivity', 'Ġthen', 'Ġit', ""'s"", 'Ġkind', 'Ġof', 'Ġlike', 'Ġhaving', 'Ġfun', 'Ġplaying', 'Ġand', 'Ġthen', 'Ġyou', 'Ġthen', 'Ġyou', 'Ġget', 'Ġsome', 'Ġof', 'Ġthe', '</s>']"	[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0]	['<s>', 'Team', 'Ġsports', 'Ġand', 'Ġactivities', 'Ġare', 'Ġnot', 'Ġfun', 'Ġat', 'Ġall', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 0 0]
8	contradiction	fiction	contradiction	109842c	109842	"And all you can do is to murmur silly things about 'heart seizure' and 'inquest on Friday.' You ought to be ashamed of yourself, John Cavendish."""	( ( ( ( ( ( And ( ( all ( you ( can do ) ) ) ( is ( to ( ( ( murmur ( silly things ) ) ( about ( ` ( ( ( ( ( heart seizure ) ' ) and ) ` ) inquest ) ) ) ) ( on Friday ) ) ) ) ) ) . ) ' ) ( You ( ought ( to ( be ( ashamed ( of ( ( yourself , ) ( John Cavendish ) ) ) ) ) ) ) ) ) . ) '' )	(ROOT (S (S (CC And) (NP (NP (DT all)) (SBAR (S (NP (PRP you)) (VP (MD can) (VP (VB do)))))) (VP (VBZ is) (S (VP (TO to) (VP (VB murmur) (NP (JJ silly) (NNS things)) (PP (IN about) (NP (`` `) (NP (NN heart) (NN seizure)) ('' ') (CC and) (`` `) (NP (NN inquest)))) (PP (IN on) (NP (NNP Friday)))))))) (. .) ('' ') (S (NP (PRP You)) (VP (MD ought) (S (VP (TO to) (VP (VB be) (ADJP (JJ ashamed) (PP (IN of) (NP (NP (PRP yourself)) (, ,) (NP (NNP John) (NNP Cavendish)))))))))) (. .) ('' '')))	I am very proud of you.	( I ( ( am ( very ( proud ( of you ) ) ) ) . ) )	(ROOT (S (NP (PRP I)) (VP (VBP am) (ADJP (RB very) (JJ proud) (PP (IN of) (NP (PRP you))))) (. .)))	"['<s>', 'And', 'Ġall', 'Ġyou', 'Ġcan', 'Ġdo', 'Ġis', 'Ġto', 'Ġmur', 'mur', 'Ġsilly', 'Ġthings', 'Ġabout', ""Ġ'"", 'heart', 'Ġseizure', ""'"", 'Ġand', ""Ġ'"", 'in', 'quest', 'Ġon', 'ĠFriday', "".'"", 'ĠYou', 'Ġought', 'Ġto', 'Ġbe', 'Ġashamed', 'Ġof', 'Ġyourself', ',', 'ĠJohn', 'ĠCav', 'endish', '.""', '</s>']"	[0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	['<s>', 'I', 'Ġam', 'Ġvery', 'Ġproud', 'Ġof', 'Ġyou', '.', '</s>']	[0 0 0 0 0 0 0 0 0]
9	contradiction	government	contradiction	122084c	122084	The expected net realizable value is adjusted at the end of each period, and any further revaluation is also recognized as a gain or loss in determining the net cost of operations.	( ( ( ( ( ( The ( expected ( net ( realizable value ) ) ) ) ( is ( adjusted ( at ( ( the end ) ( of ( each period ) ) ) ) ) ) ) , ) and ) ( ( any ( further revaluation ) ) ( ( is also ) ( recognized ( as ( ( a ( ( gain or ) loss ) ) ( in ( determining ( ( the ( net cost ) ) ( of operations ) ) ) ) ) ) ) ) ) ) . )	(ROOT (S (S (NP (DT The) (JJ expected) (JJ net) (NN realizable) (NN value)) (VP (VBZ is) (VP (VBN adjusted) (PP (IN at) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT each) (NN period)))))))) (, ,) (CC and) (S (NP (DT any) (JJ further) (NN revaluation)) (VP (VBZ is) (ADVP (RB also)) (VP (VBN recognized) (PP (IN as) (NP (NP (DT a) (NN gain) (CC or) (NN loss)) (PP (IN in) (S (VP (VBG determining) (NP (NP (DT the) (JJ net) (NN cost)) (PP (IN of) (NP (NNS operations)))))))))))) (. .)))	The net cost of operations can be found without concern for revaluations or worry about profit or loss; just pick a number that sounds good. 	( ( ( ( ( ( The ( net cost ) ) ( of operations ) ) ( can ( ( ( be ( found ( without ( concern ( for revaluations ) ) ) ) ) or ) ( worry ( about ( ( profit or ) loss ) ) ) ) ) ) ; ) ( just ( pick ( ( a number ) ( that ( sounds good ) ) ) ) ) ) . )	(ROOT (S (S (NP (NP (DT The) (JJ net) (NN cost)) (PP (IN of) (NP (NNS operations)))) (VP (MD can) (VP (VP (VB be) (VP (VBN found) (PP (IN without) (NP (NP (NN concern)) (PP (IN for) (NP (NNS revaluations))))))) (CC or) (VP (VB worry) (PP (IN about) (NP (NN profit) (CC or) (NN loss))))))) (: ;) (S (ADVP (RB just)) (VP (VB pick) (NP (NP (DT a) (NN number)) (SBAR (WHNP (WDT that)) (S (VP (VBZ sounds) (ADJP (JJ good)))))))) (. .)))	['<s>', 'The', 'Ġexpected', 'Ġnet', 'Ġreal', 'izable', 'Ġvalue', 'Ġis', 'Ġadjusted', 'Ġat', 'Ġthe', 'Ġend', 'Ġof', 'Ġeach', 'Ġperiod', ',', 'Ġand', 'Ġany', 'Ġfurther', 'Ġre', 'val', 'uation', 'Ġis', 'Ġalso', 'Ġrecognized', 'Ġas', 'Ġa', 'Ġgain', 'Ġor', 'Ġloss', 'Ġin', 'Ġdetermining', 'Ġthe', 'Ġnet', 'Ġcost', 'Ġof', 'Ġoperations', '.', '</s>']	"[0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 0]"	['<s>', 'The', 'Ġnet', 'Ġcost', 'Ġof', 'Ġoperations', 'Ġcan', 'Ġbe', 'Ġfound', 'Ġwithout', 'Ġconcern', 'Ġfor', 'Ġre', 'val', 'uations', 'Ġor', 'Ġworry', 'Ġabout', 'Ġprofit', 'Ġor', 'Ġloss', ';', 'Ġjust', 'Ġpick', 'Ġa', 'Ġnumber', 'Ġthat', 'Ġsounds', 'Ġgood', '.', 'Ġ', '</s>']	[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0]
